baseline_event_id,start_time,end_time,duration_s,peak_time,peak_freq_hz,mean_freq_fraction_of_fce,mean_ellipticity,mean_planarity,peak_psd_nt2_per_hz,num_segments
1,2017-07-29 15:13:36.716990186,2017-07-29 15:13:37.592001764,1.000011,2017-07-29 15:13:37.592001764,51.99928116193722,0.11099146147488909,0.8055674792663572,0.9903246478850961,1.47333185005873e-06,2
2,2017-07-29 15:14:21.810970218,2017-07-29 15:14:22.560980142,0.875009,2017-07-29 15:14:21.810970218,55.999225866701615,0.1134031072038617,0.8361473421145964,0.964274002416907,7.080987835898776e-07,2
3,2017-07-29 15:14:29.654763116,2017-07-29 15:14:30.029768078,0.500004,2017-07-29 15:14:30.029768078,43.999391752408414,0.100351495401339,0.8332003756298305,0.9504211143018101,8.379035995561187e-07,2
4,2017-07-29 15:24:34.538009944,2017-07-29 15:24:35.163018214,0.750008,2017-07-29 15:24:34.538009944,43.999391752408414,0.10141791608781552,0.7353863536629299,0.9968075315909826,9.374510590076093e-07,2
5,2017-07-29 15:27:00.007525488,2017-07-29 15:27:00.382530450,0.500004,2017-07-29 15:27:00.007525488,31.99955763811521,0.17416362521483292,0.7662998813009668,0.9945539402531516,1.5166377490178375e-06,2
6,2017-07-29 15:28:01.570351423,2017-07-29 15:28:02.195359693,0.750008,2017-07-29 15:28:01.570351423,35.99950234287961,0.10774828440373303,0.7563426021407939,0.9855093807254013,1.992255657002895e-06,3
7,2017-07-29 15:28:42.666719894,2017-07-29 15:28:43.291728164,0.750008,2017-07-29 15:28:42.666719894,47.99933645717282,0.11318027610078055,0.8369231448234478,0.9753933989624117,6.420367054469429e-07,2
8,2017-07-29 15:28:49.823002694,2017-07-29 15:28:50.698014272,1.000011,2017-07-29 15:28:50.698014272,43.999391752408414,0.11728077590093089,0.7778618850153274,0.9860546886516485,1.3106155914280118e-06,3
9,2017-07-29 15:31:21.730164065,2017-07-29 15:31:21.980167373,0.375003,2017-07-29 15:31:21.980167373,39.99944704764401,0.13019107538186908,0.7555764568230228,0.9820715997588646,1.1798578709948582e-06,2
10,2017-07-29 15:32:43.824329924,2017-07-29 15:32:44.074333231,0.375003,2017-07-29 15:32:43.824329924,39.99944704764401,0.18400295546628204,0.7293391082974909,0.9955617292179928,3.0296052828957272e-06,2
11,2017-07-29 15:33:06.261943148,2017-07-29 15:33:06.511946455,0.375003,2017-07-29 15:33:06.511946455,31.99955763811521,0.16685640691260062,0.7007164993503567,0.9780930690489793,1.482087749641693e-06,2
12,2017-07-29 15:47:27.806679336,2017-07-29 15:47:29.181679336,1.5,2017-07-29 15:47:28.681679336,36.00009216023593,0.2477597098385502,0.8196085674214748,0.9843599308939718,1.9749828991872125e-06,3
