feature,target_bbf_within_5min,samples,mean,std,min,max,missing_rate
relative_time_s,0,6,-450.0,260.096136072799,-900.0,0.0,0.0
relative_time_s,1,8,-450.0,260.096136072799,-900.0,0.0,0.0
Bz,0,6,3.1175199448772926,1.2061810976317655,-3.354921340942383,7.466274738311768,0.0
Bz,1,8,3.0522914548062374,0.8775964497807549,-3.354921340942383,7.466274738311768,0.0
abs_Bz,0,6,3.1208261382227533,1.1976007940785374,0.01880350522696972,7.466274738311768,0.0
abs_Bz,1,8,3.0569308568153954,0.8612969234827523,0.01880350522696972,7.466274738311768,0.0
dBz_dt,0,6,0.001177360142622167,0.28066130201730677,-4.641330242156982,4.585653305053711,0.0
dBz_dt,1,8,-0.00142973749554684,0.24335087768295224,-4.641330242156982,3.8027994632720947,0.0
Bz_delta_60s,0,6,0.03356450268756867,1.5073669254699336,-8.621041297912598,6.926809787750244,0.0
Bz_delta_60s,1,8,-0.04496784921069852,1.0739404886315642,-8.621041297912598,6.926809787750244,0.0
Bz_rolling_std_60s,0,6,0.5132790522743258,0.558663708271597,0.0,2.399240016937256,0.0
Bz_rolling_std_60s,1,8,0.2945273376217776,0.5117738174514667,0.0,2.377441883087158,0.0
Bz_sign_change_rate_60s,0,6,0.0018497966043857835,0.00964758930171578,0.0,0.0833333358168602,0.0
Bz_sign_change_rate_60s,1,8,0.0023561784280226312,0.010179634818299291,0.0,0.0833333358168602,0.0
fce_hz,0,6,311.6534229367475,128.15751921773156,20.55445671081543,525.2659912109375,0.0
fce_hz,1,8,215.27482409958833,65.80054228784317,20.55445671081543,446.2003479003906,0.0
whistler_band_power,0,6,154.54120953518608,39.14766650863993,0.0010820330353453755,779.3722534179688,0.0
whistler_band_power,1,8,141.31812842014344,25.855086509329997,0.0010820330353453755,513.4655151367188,0.0
wave_total_power_10_4000hz,0,6,265.8659240632334,115.90732354436439,159.5872039794922,2035.996337890625,0.0
wave_total_power_10_4000hz,1,8,242.9543226392367,70.52350787869065,160.95240783691406,1296.2587890625,0.0
whistler_ratio,0,6,0.6393439768419803,0.13279307521025202,5.018576757720439e-06,0.8089960813522339,0.0
whistler_ratio,1,8,0.6078358281142989,0.09420730882348521,5.018576757720439e-06,0.7924096584320068,0.0
whistler_activity_score,0,6,0.6986041451258915,1.9439516400250918,-11.275856971740723,10.873847961425781,0.0
whistler_activity_score,1,8,-0.01788488231686158,1.22851072861992,-8.3846435546875,9.072940826416016,0.0
wave_power_delta_60s,0,6,-2.173128800679417,39.21300112439166,-631.7918701171875,581.2984619140625,0.0
wave_power_delta_60s,1,8,-0.9949738698246342,32.37419643736058,-411.1553039550781,367.4704284667969,0.0
wave_power_increase_rate_60s,0,6,-0.036218813750865934,0.6535500180769496,-10.529864311218262,9.688307762145996,0.0
wave_power_increase_rate_60s,1,8,-0.01658289809697499,0.5395699421002758,-6.852588653564453,6.124507427215576,0.0
wave_power_rolling_mean_60s,0,6,155.66420761232592,31.69353082713743,66.02996063232422,202.8812255859375,0.0
wave_power_rolling_mean_60s,1,8,141.74364279642222,13.107265164446835,75.39645385742188,167.4361114501953,0.0
wave_power_rolling_max_60s,0,6,199.98227522860975,86.07768951020319,134.9814453125,779.3722534179688,0.0
wave_power_rolling_max_60s,1,8,172.89593824244764,76.9302324426999,134.9814453125,513.4655151367188,0.0
wave_power_rolling_var_60s,0,6,566.6852517854398,1304.0640612987677,0.0,8908.748046875,0.0
wave_power_rolling_var_60s,1,8,431.8331126026161,1231.0708346517317,0.0,7688.3056640625,0.0
whistler_feature_observed,0,6,0.8234362631286465,0.2765905352178817,0.0,1.0,0.0
whistler_feature_observed,1,8,0.916097524758846,0.2065942446282983,0.0,1.0,0.0
