date,direction,start_time,end_time,duration_s,num_bins,peak_time,peak_vx,peak_abs_vx,mean_vx,mean_vy,mean_vz
2017-01-01,tailward_fastflow_candidate,2017-01-01 02:42:15,2017-01-01 02:42:50,40.0,8,2017-01-01 02:42:30,-363.9998474121094,363.9998474121094,-336.4028129577637,19.2994966506958,-21.47967493534088
2017-01-01,tailward_fastflow_candidate,2017-01-01 06:26:05,2017-01-01 06:26:10,10.0,2,2017-01-01 06:26:10,-330.7140808105469,330.7140808105469,-327.771240234375,8.809282302856445,-25.735610008239743
2017-01-01,tailward_fastflow_candidate,2017-01-01 08:45:20,2017-01-01 08:45:55,40.0,8,2017-01-01 08:45:45,-471.975830078125,471.975830078125,-406.80434799194336,-10.137655586004255,-112.76782035827635
2017-01-01,tailward_fastflow_candidate,2017-01-01 08:46:40,2017-01-01 08:48:15,100.0,20,2017-01-01 08:47:45,-493.810302734375,493.810302734375,-414.9425071716309,-9.918777965009212,-103.39819011688232
2017-01-01,tailward_fastflow_candidate,2017-01-01 08:48:40,2017-01-01 08:48:45,10.0,2,2017-01-01 08:48:40,-380.3149719238281,380.3149719238281,-365.8235473632813,6.094271183013916,-123.3647689819336
2017-01-01,tailward_fastflow_candidate,2017-01-01 08:50:10,2017-01-01 08:50:15,10.0,2,2017-01-01 08:50:10,-352.5240478515625,352.5240478515625,-336.5621643066406,54.17629051208496,-177.01778411865234
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:05:30,2017-01-01 09:06:00,35.0,7,2017-01-01 09:05:45,-437.8397216796875,437.8397216796875,-387.1587175641741,15.751639808927264,-40.92098372323172
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:10:40,2017-01-01 09:13:25,170.0,34,2017-01-01 09:11:55,-526.9943237304688,526.9943237304688,-494.9024828742532,40.92319323034848,-31.82320188073551
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:32:20,2017-01-01 09:32:30,15.0,3,2017-01-01 09:32:30,-344.72576904296875,344.72576904296875,-318.38661193847656,-60.72679805755615,-52.10616111755371
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:32:40,2017-01-01 09:36:00,205.0,41,2017-01-01 09:35:50,-477.5437927246094,477.5437927246094,-402.45542498332696,15.33938715007247,-18.72721569712569
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:36:25,2017-01-01 09:36:30,10.0,2,2017-01-01 09:36:30,-344.80194091796875,344.80194091796875,-337.4307861328125,177.3279571533203,44.51263618469238
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:37:45,2017-01-01 09:38:05,25.0,5,2017-01-01 09:37:55,-395.1885681152344,395.1885681152344,-340.2164733886719,175.37857666015626,-33.484075927734374
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:43:20,2017-01-01 09:44:15,60.0,12,2017-01-01 09:44:00,-500.02252197265625,500.02252197265625,-412.3599624633789,54.00921217600504,14.44100554784139
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:44:25,2017-01-01 09:44:30,10.0,2,2017-01-01 09:44:25,-343.40338134765625,343.40338134765625,-335.5556182861328,50.84897136688232,3.321748733520508
2017-01-01,tailward_fastflow_candidate,2017-01-01 09:44:40,2017-01-01 09:47:25,170.0,34,2017-01-01 09:46:50,-513.4678955078125,513.4678955078125,-458.99100494384766,37.45253878481248,-28.778743659748752
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:20:10,2017-01-03 05:20:25,20.0,4,2017-01-03 05:20:20,-353.970947265625,353.970947265625,-334.5155258178711,-70.3978099822998,36.161009311676025
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:25:25,2017-01-03 05:25:40,20.0,4,2017-01-03 05:25:35,-345.46466064453125,345.46466064453125,-318.9122543334961,-3.499856472015381,56.80755019187927
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:26:05,2017-01-03 05:26:15,15.0,3,2017-01-03 05:26:05,-328.0373840332031,328.0373840332031,-323.2228597005208,-15.02088212966919,40.431646982828774
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:26:35,2017-01-03 05:27:05,35.0,7,2017-01-03 05:26:50,-340.1219177246094,340.1219177246094,-318.49386814662387,-16.169918264661515,11.427213941301618
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:27:20,2017-01-03 05:27:40,25.0,5,2017-01-03 05:27:30,-341.17962646484375,341.17962646484375,-317.99834594726565,-10.26943006515503,12.277466201782227
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:27:50,2017-01-03 05:28:20,35.0,7,2017-01-03 05:28:10,-361.682861328125,361.682861328125,-339.2830113002232,-10.177430357251849,34.76796204703195
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:29:05,2017-01-03 05:29:30,30.0,6,2017-01-03 05:29:25,-333.3405456542969,333.3405456542969,-316.1782480875651,-29.318612813949585,47.017781575520836
